id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49580753,Cabaña de Piedra El Borge by Ruralidays,392227252,Ruralidays,,Este,36.8014,-4.27781,Entire home/apt,261,2,4,2022-06-24,0.36,21,125,4,VTAR/MA/01724
21633793,APARTAMENTO RECIÉN REFORMADO CON VISTAS AL MAR.,80991994,Alejandro,,Este,36.71925,-4.30745,Entire home/apt,60,7,21,2021-11-05,0.41,2,27,1,VFT/ MA/ 20973
36883627,Superb Finca with Stunning Views and Private Pool,148312291,Pierre,,Este,36.8036,-4.26732,Entire home/apt,193,7,19,2022-09-16,0.51,1,158,7,VTAR/MA/02881
680889020954974381,Casa NATHIUM.,471989508,Rocío,,Este,36.82403,-4.24665,Entire home/apt,56,2,0,,,1,363,0,CTC-2022176867
49581344,Cortijo La Envarra El Borge by Ruralidays,392227252,Ruralidays,,Este,36.79855,-4.27864,Entire home/apt,122,2,4,2022-08-06,0.35,21,286,4,CTC-2018165738
8020584,"Ático para 6 personas, terraza privada y piscina.",33177662,Nuria,,Este,36.71925,-4.2962,Entire home/apt,79,2,81,2022-08-31,1.01,1,244,8,VFT/MA/19333
664876954696140893,Era del Puerto 2,432584184,Bookiply,,Este,36.74838721714498,-4.315080799966216,Entire home/apt,188,1,1,2022-07-27,0.46,19,364,1,CTC-2022-130575
18021081,Beautiful penthouse near Málaga,28688196,Davy,,Churriana,36.65825,-4.53265,Entire home/apt,73,3,124,2022-09-09,1.86,1,261,23,VFT/MA/21969
47884195,Casa Alambique villa with beautiful views and pool,385975672,Daniel,,Este,36.86881,-4.27512,Entire home/apt,233,6,14,2022-09-17,0.88,1,357,8,VTAR/MA/02632
617918657363379581,Bonito apartamento con jardín y piscina,457086538,Regli,,Churriana,36.66382,-4.54445,Entire home/apt,65,2,19,2022-09-25,4.13,1,359,19,Exempt
